iter	Passed	Remaining
466	747	852
467	749	851
468	750	849
469	751	847
470	752	845
471	754	843
472	755	841
473	756	839
474	757	837
475	758	835
476	759	833
477	760	830
478	762	829
479	763	827
480	765	825
481	766	823
482	767	821
483	768	819
484	770	817
485	771	815
486	772	813
487	773	811
488	774	809
489	775	807
490	776	805
491	778	803
492	779	802
493	781	800
494	782	798
495	783	796
496	784	794
497	786	792
498	787	790
499	788	788
500	789	786
501	790	784
502	792	782
503	793	780
504	794	779
505	795	777
506	797	775
507	798	773
508	799	771
509	800	769
510	802	767
511	803	765
512	804	763
513	805	761
514	806	759
515	808	758
516	809	756
517	811	754
518	812	752
519	813	750
520	814	748
521	815	746
522	816	744
523	817	742
524	818	740
525	820	738
526	821	737
527	822	735
528	823	733
529	825	731
530	826	729
531	827	727
532	828	725
533	829	724
534	830	722
535	831	720
536	833	718
537	834	716
538	835	714
539	836	712
540	837	710
541	839	709
542	840	707
543	841	705
544	842	703
545	843	701
546	845	699
547	846	698
548	847	696
549	848	694
550	850	692
551	851	690
552	852	689
553	854	687
554	855	686
555	857	684
556	858	682
557	859	680
558	860	678
559	861	676
560	862	675
561	863	673
562	864	671
563	866	669
564	867	668
565	869	666
566	870	664
567	871	662
568	872	661
569	873	659
570	874	657
571	876	655
572	877	653
573	878	652
574	879	650
575	881	648
576	883	647
577	884	646
578	886	644
579	887	642
580	888	640
581	889	639
582	891	637
583	892	635
584	893	633
585	894	632
586	896	630
587	897	628
588	898	627
589	899	625
590	901	623
591	902	621
592	903	620
593	904	618
594	906	616
595	907	615
596	908	613
597	909	611
598	911	609
599	912	608
600	913	606
601	915	605
602	916	603
603	918	601
604	919	600
605	920	598
606	921	596
607	922	594
608	923	593
609	924	591
610	926	589
611	928	588
612	930	587
613	932	586
614	933	584
615	935	582
616	936	581
617	937	579
618	938	577
619	940	576
620	941	574
621	943	573
622	946	572
623	947	570
624	948	569
625	949	567
626	951	565
627	952	564
628	953	562
629	955	560
630	957	559
631	959	558
632	961	557
633	962	555
634	964	554
635	965	552
636	966	550
637	968	549
638	970	548
639	971	546
640	973	545
641	975	543
642	976	542
643	977	540
644	979	538
645	980	537
646	982	535
647	983	534
648	985	533
649	987	531
650	988	530
651	990	528
652	991	526
653	992	525
654	993	523
655	995	521
656	996	520
657	997	518
658	999	517
659	1000	515
660	1002	514
661	1003	512
662	1004	510
663	1006	509
664	1007	507
665	1008	505
666	1010	504
667	1011	502
668	1012	501
669	1014	499
670	1016	498
671	1017	496
672	1019	495
673	1021	494
674	1022	492
675	1024	490
676	1026	489
677	1027	488
678	1029	486
679	1031	485
680	1032	483
681	1034	482
682	1035	480
683	1037	479
684	1039	477
685	1040	476
686	1042	474
687	1045	473
688	1046	472
689	1048	471
690	1049	469
691	1051	467
692	1052	466
693	1054	464
694	1055	463
695	1057	461
696	1059	460
697	1061	459
698	1063	458
699	1065	456
700	1067	455
701	1069	453
702	1070	452
703	1072	450
704	1075	449
705	1077	448
706	1078	447
707	1080	445
708	1081	443
709	1083	442
710	1084	440
711	1086	439
712	1088	438
713	1089	436
714	1091	435
715	1092	433
716	1094	431
717	1095	430
718	1096	428
719	1097	426
720	1098	425
721	1100	423
722	1101	421
723	1102	420
724	1104	419
725	1108	418
726	1110	416
727	1111	415
728	1112	413
729	1114	412
730	1115	410
731	1116	408
732	1117	407
733	1119	405
734	1121	404
735	1122	402
736	1124	401
737	1125	399
738	1126	397
739	1127	396
740	1129	394
741	1130	393
742	1131	391
743	1133	389
744	1134	388
745	1136	386
746	1137	385
747	1138	383
748	1139	382
749	1141	380
750	1142	378
751	1143	377
752	1145	375
753	1146	373
754	1147	372
755	1149	371
756	1150	369
757	1151	367
758	1153	366
759	1154	364
760	1155	362
761	1156	361
762	1158	359
763	1159	358
764	1160	356
765	1161	354
766	1163	353
767	1165	352
768	1166	350
769	1167	348
770	1169	347
771	1170	345
772	1171	344
773	1172	342
774	1174	340
775	1175	339
776	1177	337
777	1178	336
778	1179	334
779	1181	333
780	1182	331
781	1183	329
782	1184	328
783	1185	326
784	1187	325
785	1188	323
786	1189	321
787	1190	320
788	1191	318
789	1193	317
790	1194	315
791	1195	313
792	1196	312
793	1197	310
794	1199	309
795	1200	307
796	1201	305
797	1202	304
798	1203	302
799	1204	301
800	1206	299
801	1207	298
802	1208	296
803	1209	294
804	1211	293
805	1212	291
806	1213	290
807	1214	288
808	1215	286
809	1216	285
810	1217	283
811	1218	282
812	1220	280
813	1221	279
814	1222	277
815	1223	275
816	1224	274
817	1225	272
818	1227	271
819	1228	269
820	1229	268
821	1230	266
822	1231	264
823	1232	263
824	1234	261
825	1235	260
826	1236	258
827	1238	257
828	1239	255
829	1240	254
830	1241	252
831	1243	251
832	1244	249
833	1245	247
834	1246	246
835	1247	244
836	1249	243
837	1250	241
838	1252	240
839	1253	238
840	1254	237
841	1255	235
842	1256	234
843	1257	232
844	1259	230
845	1260	229
846	1261	227
847	1262	226
848	1263	224
849	1265	223
850	1266	221
851	1267	220
852	1269	218
853	1270	217
854	1271	215
855	1272	214
856	1273	212
857	1275	211
858	1276	209
859	1277	207
860	1278	206
861	1279	204
862	1281	203
863	1282	201
864	1283	200
865	1285	198
866	1286	197
867	1287	195
868	1288	194
869	1289	192
870	1290	191
871	1291	189
872	1293	188
873	1294	186
874	1295	185
875	1297	183
876	1298	182
877	1299	180
878	1300	179
879	1301	177
880	1302	175
881	1304	174
882	1305	172
883	1306	171
884	1307	169
885	1308	168
886	1310	166
887	1311	165
888	1312	163
889	1313	162
890	1314	160
891	1316	159
892	1317	157
893	1318	156
894	1319	154
895	1320	153
896	1321	151
897	1323	150
898	1324	148
899	1325	147
900	1327	145
901	1328	144
902	1329	142
903	1330	141
904	1331	139
905	1332	138
906	1334	136
907	1335	135
908	1336	133
909	1337	132
910	1338	130
911	1339	129
912	1341	127
913	1342	126
914	1343	124
915	1344	123
916	1345	121
917	1346	120
918	1347	118
919	1348	117
920	1350	115
921	1351	114
922	1352	112
923	1353	111
924	1354	109
925	1356	108
926	1357	106
927	1358	105
928	1359	103
929	1360	102
930	1362	100
931	1363	99
932	1364	97
933	1365	96
934	1366	95
935	1367	93
936	1369	92
937	1370	90
938	1372	89
939	1373	87
940	1374	86
941	1375	84
942	1376	83
943	1378	81
944	1379	80
945	1380	78
946	1381	77
947	1382	75
948	1383	74
949	1385	72
950	1386	71
951	1388	69
952	1389	68
953	1390	67
954	1391	65
955	1392	64
956	1393	62
957	1395	61
958	1396	59
959	1397	58
960	1398	56
961	1400	55
962	1401	53
963	1402	52
964	1403	50
965	1405	49
966	1406	47
967	1407	46
968	1408	45
969	1409	43
970	1410	42
971	1411	40
972	1413	39
973	1415	37
974	1416	36
975	1417	34
976	1419	33
977	1420	31
978	1421	30
979	1422	29
980	1423	27
981	1424	26
982	1425	24
983	1426	23
984	1428	21
985	1430	20
986	1431	18
987	1432	17
988	1434	15
989	1435	14
990	1436	13
991	1437	11
992	1438	10
993	1440	8
994	1441	7
995	1442	5
996	1444	4
997	1445	2
998	1446	1
999	1448	0
